utc,local,celsius
2017-09-04T05:38:41+00:00,2017-09-04T07:38:41+02:00,21.7
2017-09-04T05:53:42+00:00,2017-09-04T07:53:42+02:00,21.7
2017-09-04T06:08:43+00:00,2017-09-04T08:08:43+02:00,21.7
2017-09-04T06:23:43+00:00,2017-09-04T08:23:43+02:00,21.7
2017-09-04T06:38:43+00:00,2017-09-04T08:38:43+02:00,21.7
2017-09-04T06:53:44+00:00,2017-09-04T08:53:44+02:00,21.7
2017-09-04T07:08:44+00:00,2017-09-04T09:08:44+02:00,21.7
2017-09-04T07:23:44+00:00,2017-09-04T09:23:44+02:00,21.7
2017-09-04T07:38:44+00:00,2017-09-04T09:38:44+02:00,21.7
2017-09-04T07:53:44+00:00,2017-09-04T09:53:44+02:00,21.7
2017-09-04T08:08:44+00:00,2017-09-04T10:08:44+02:00,21.7
2017-09-04T08:23:45+00:00,2017-09-04T10:23:45+02:00,21.7
2017-09-04T08:38:46+00:00,2017-09-04T10:38:46+02:00,21.7
2017-09-04T08:53:46+00:00,2017-09-04T10:53:46+02:00,21.7
2017-09-04T09:08:46+00:00,2017-09-04T11:08:46+02:00,21.64
2017-09-04T09:23:46+00:00,2017-09-04T11:23:46+02:00,21.7
2017-09-04T09:38:46+00:00,2017-09-04T11:38:46+02:00,21.7
2017-09-04T09:53:47+00:00,2017-09-04T11:53:47+02:00,21.7
2017-09-04T10:08:47+00:00,2017-09-04T12:08:47+02:00,21.7
2017-09-04T10:23:47+00:00,2017-09-04T12:23:47+02:00,21.7
2017-09-04T10:38:49+00:00,2017-09-04T12:38:49+02:00,21.7
2017-09-04T10:53:49+00:00,2017-09-04T12:53:49+02:00,21.7
2017-09-04T11:08:49+00:00,2017-09-04T13:08:49+02:00,21.7
2017-09-04T11:23:49+00:00,2017-09-04T13:23:49+02:00,21.77
2017-09-04T11:38:49+00:00,2017-09-04T13:38:49+02:00,21.77
2017-09-04T11:53:49+00:00,2017-09-04T13:53:49+02:00,21.77
2017-09-04T12:08:49+00:00,2017-09-04T14:08:49+02:00,21.77
2017-09-04T12:23:50+00:00,2017-09-04T14:23:50+02:00,21.7
2017-09-04T12:38:50+00:00,2017-09-04T14:38:50+02:00,21.7
2017-09-04T12:53:51+00:00,2017-09-04T14:53:51+02:00,21.7
2017-09-04T13:08:51+00:00,2017-09-04T15:08:51+02:00,21.7
2017-09-04T13:23:51+00:00,2017-09-04T15:23:51+02:00,21.64
2017-09-04T13:38:51+00:00,2017-09-04T15:38:51+02:00,21.64
2017-09-04T13:53:51+00:00,2017-09-04T15:53:51+02:00,21.64
2017-09-04T14:08:51+00:00,2017-09-04T16:08:51+02:00,21.64
2017-09-04T14:23:51+00:00,2017-09-04T16:23:51+02:00,21.64
2017-09-04T14:38:51+00:00,2017-09-04T16:38:51+02:00,21.64
2017-09-04T14:53:51+00:00,2017-09-04T16:53:51+02:00,21.58
2017-09-04T15:08:51+00:00,2017-09-04T17:08:51+02:00,21.58
2017-09-04T15:23:51+00:00,2017-09-04T17:23:51+02:00,21.58
2017-09-04T15:38:51+00:00,2017-09-04T17:38:51+02:00,21.58
2017-09-04T15:53:51+00:00,2017-09-04T17:53:51+02:00,21.51
2017-09-04T16:08:51+00:00,2017-09-04T18:08:51+02:00,21.51
2017-09-04T16:23:52+00:00,2017-09-04T18:23:52+02:00,21.51
2017-09-04T16:38:52+00:00,2017-09-04T18:38:52+02:00,21.51
2017-09-04T16:53:52+00:00,2017-09-04T18:53:52+02:00,21.46
2017-09-04T17:08:52+00:00,2017-09-04T19:08:52+02:00,21.46
2017-09-04T17:23:52+00:00,2017-09-04T19:23:52+02:00,21.46
